2762;to be keen on sb/sth (informal) (irr)
2768;to go skiing (irr)
2769;Asia
2770;particularly
2772;divorced
2773;to be allergic to sth (irr)
2775;custom
2781;bottled
2782;to be thirsty (irr)
2786;to mean to do sth (irr)
2788;ought to do sth
2793;neither of ...
2794;to apologize (to/for)
2795;apology
2796;misunderstanding
2797;expression
2801;balti (no pl)
2810;paragraph
2820;structure
2821;to be into sb/sth (informal, irr)
2822;pinboard
2823;Formula 1 (no pl)
2824;heptathlon (no pl)
2833;Paralympics (only pl)
2835;to be keen to do sth (irr)
2836;to continue doing sth/to do sth
2844;to be used to doing sth (irr)
2846;someone else
2847;warm-up
2848;exercise
2849;samosa
2851;exhausting
2853;World Cup (no pl)
2854;to fall asleep (irr)
2855;bad
2856;the great outdoors
2857;blurb
2871;damage (no pl)
2872;to clean up
2883;must (no pl)
2890;detailed
2891;loch
2892;foreground
2894;left-hand
2895;right-hand
2896;bottom
2897;to recommend
2898;means (of)
2899;travel (no pl)
2902;fare
2904;average
2911;destination
2912;payment
2913;duration (no pl)
2914;single (ticket)
2915;comfortable
2917;line
2918;departure
2920;to reach
2921;return (ticket)
2922;to sum up
2930;boarding pass
2938;to be left (irr)
2948;uncertain
2956;thrilled
2961;guerrilla gardening (no pl)
2962;urban
2964;out and about
2965;haggis (no pl)
2966;cathedral
2967;necropolis
2970;silver
2975;residential
2979;rock climbing (no pl)
2980;wheelchair
2983;fine art (no pl)
2984;to sail
2985;walking (no pl)
2986;horse-riding (no pl)
2989;bronze
2991;bicycle
2992;on horseback
2993;research
2999;specific
3000;goal
3001;to supervise
3002;to assess
3003;evidence (no pl)
3004;progress (no pl)
3005;path
3011;exhausted
3017;to go wrong (irr)
3018;target
