Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
ambition;Ehrgeiz, Ambition(en), (angestrebtes) Ziel;aktiv;5/C4;III;s;Zoe’s ambition is to be a doctor.;
to attend;besuchen, hier: gehen auf;aktiv;5/C4;III;v;After school many young people attend university.;
intelligence (no pl);Intelligenz;aktiv;5/C4;III;s;;
determination (no pl);Entschlossenheit, Entschiedenheit, Bestimmung;aktiv;5/C4;III;s;;
speed;Geschwindigkeit, Tempo;aktiv;5/C4;III;s;;
strength (no pl);Kraft, Stärke;aktiv;5/C4;III;s;He is famous for his strength.;ID 4754619
to be used to doing sth (irr);gewohnt sein, etw zu tun;aktiv;5/C4;III;ph;Mary is used to working hard at school.;
to achieve;erreichen, erlangen, erzielen;passiv;5/C4;III;v;;
someone else;jemand anders;aktiv;5/C6;III;p;Is this your pen? – No, it belongs to someone else.;
warm-up;(sich) aufwärmen, Warm-up-;passiv;5/C6;III;s;;
exercise;Übung, Aufgabe;aktiv;5/C6;III;s;;
samosa;indische Teigtasche;passiv;5/C6;III;s;;
to taste;schmecken;aktiv;5/C6;III;v;I think ice cream tastes nicer than vegetables.;
exhausting;anstrengend;aktiv;5/C6;III;a;It was very exhausting for him to run for the bus.;ID 1389838
professional;beruflich, Berufs-, professionell;aktiv;5/C6;III;a;;
World Cup (no pl);Fußballweltmeisterschaft;passiv;5/C6;III;s;;
to fall asleep (irr);einschlafen;aktiv;5/C6;III;ph;I was so tired, I fell asleep at dinnertime.;
bad;schlecht, hier: faul;aktiv;5/C8;III;a;;
the great outdoors;die freie Natur;passiv;6/A;III;ph;;
blurb;Klappentext;passiv;6/A1;III;s;;
novel;Roman;aktiv;6/A1;III;s;This novel is fun to read.;ID 5077206
to be set (irr);liegen, hier: spielen;aktiv;6/A1;III;ph;The film is set in the future.;
climate (no pl);Klima;aktiv;6/A1;III;s;Climate change is believed to cause natural disasters like big storms.;
change;(Ver)änderung, Wechsel, Umstellung, hier: Wandel;aktiv;6/A1;III;s;Climate change is believed to cause natural disasters like big storms.;
to cause;verursachen;aktiv;6/A1;III;v;Climate change is believed to cause natural disasters like big storms.;
natural;natürlich, angeboren, Natur-;aktiv;6/A1;III;a;;
disaster;Katastrophe, Unglück;aktiv;6/A1;III;s;Climate change is believed to cause natural disasters like big storms.;
storm;Gewitter, Unwetter, (Protest)sturm;aktiv;6/A1;III;s;Climate change is believed to cause natural disasters like big storms.;
flooding (no pl);Überflutung, Überschwemmung;passiv;6/A1;III;s;;
government;Regierung(s-);aktiv;6/A1;III;s;;
carbon (no pl);Kohlenstoff;passiv;6/A1;III;s;;
oil;Öl;passiv;6/A1;III;s;;
ocean;Ozean, (Welt)meer;aktiv;6/A1;III;s;;
damage (no pl);Schaden, (Be)schädigung;aktiv;6/A1;III;s;;
to clean up;sauber machen, reinigen, putzen, hier: abbauen, eindämmen;aktiv;6/A1;III;v;After natural disasters, people have to work together to clean up the damage.;
consequence;Folge, Konsequenz;aktiv;6/A1;III;s;The accident happened as a consequence of the bad weather.;
informative;informativ;aktiv;6/A1;III;a;Clara thought her science lesson was very informative. She learned a lot.;
Scottish;schottisch;passiv;6/A1;III;a;;
to explode;explodieren, sprengen;passiv;6/A1;III;v;;
oil rig;Ölplattform;passiv;6/A1;III;s;;
to prevent;verhindern;aktiv;6/A1;III;v;Sometimes the government has to act quickly to prevent a catastrophe.;
wit (no pl);Witz, Geist, Verstand;aktiv;6/A1;III;s;Pia likes films that are full of clever wit and action.;
violence (no pl);Gewalt(tätigkeit), Heftigkeit;aktiv;6/A1;III;s;;
enjoyable;angenehm, nett, unterhaltsam;aktiv;6/A1;III;a;enjoyable = entertaining;
guide;Führer/in, hier: Reiseführer;passiv;6/A1;III;s;;
must (no pl);Muss;aktiv;6/A1;III;s;If you go to the Louvre, the Mona Lisa is a must.;
to provide;bereitstellen, bieten, liefern;aktiv;6/A1;III;v;This city guide provides fascinating facts and tips.;
incredible;unglaublich;passiv;6/A1;III;a;;
to sink (irr);sinken;passiv;6/A1;III;v;;
underwater;Unterwasser-, unter Wasser;passiv;6/A1;III;a/av;;
original;ursprünglich, hier: originell, außergewöhnlich;aktiv;6/A1;III;a;;
page-turner (informal);ein fesselndes Buch;passiv;6/A1;III;s;;
detailed;detailliert, genau, ausführlich;aktiv;6/A1;III;a;Liz did a lot of research and wrote a detailed report about the environment.;
loch;schottische Bezeichnung für See oder Meeresarm;passiv;6/A1;III;s;;
foreground;Vordergrund, Mittelpunkt;aktiv;6/A1;III;s;foreground ↔ background;
top;obere(r, s);aktiv;6/A1;III;a;At the top left-hand corner of the picture, there’s a tree.;
left-hand;linke(r, s);aktiv;6/A1;III;a;At the top left-hand corner of the picture, there’s a tree.;
right-hand;rechte(r, s);aktiv;6/A1;III;a;left-hand ↔ right-hand;
bottom;Boden, (unteres) Ende;aktiv;6/A1;III;s;;
to recommend;empfehlen;aktiv;6/A3;III;v;Can you recommend a book for the holidays?;
means (of);Weg, Mittel, hier: Art;aktiv;6/B1;III;s;What is the cheapest means of travel if you want to get to Glasgow from Berlin?;
travel (no pl);Reisen;aktiv;6/B1;III;s;What is the cheapest means of travel if you want to get to Glasgow from Berlin?;
travelling;reisend, Reise-, Reisen;aktiv;6/B1;III;s/a;;
flight;Flug;aktiv;6/B1;III;s;The flight from London to New York takes more than seven hours.;
fare;(Fahr)preis;aktiv;6/B1;III;s;fare = price of a ticket;
one-way;in eine(r) Richtung, einseitig;aktiv;6/B1;III;a;;
average;(im) Durchschnitt, durchschnittlich;aktiv;6/B1;III;s/a;The average journey time from London to Liverpool is two hours by train.;
by;von, hier: mit;aktiv;6/B1;III;pr;Zoe likes travelling by train.;ID 4780158
way;Weg, hier: Richtung;aktiv;6/B1;III;s;;
indirect;indirekt, hier: mit Umstieg;passiv;6/B1;III;a;;
service;Service, Dienst, hier: Verbindung;aktiv;6/B1;III;s;There’s a direct service from London to Glasgow.;
via;über, per, via;aktiv;6/B1;III;pr;The train to London goes via Manchester.;
change;(Ver)änderung, Wechsel, Umstellung, hier: Umstieg;aktiv;6/B1;III;s;There is only one change between London and Glasgow on the coach.;
destination;(Reise)ziel, Bestimmungsort;aktiv;6/B1;III;s;Kim should arrive at her destination at six o’clock.;
payment;(Be)zahlung;aktiv;6/B1;III;s;;
duration (no pl);Dauer, Länge;aktiv;6/B1;III;s;The duration of the film is 92 minutes.;
single (ticket);einfache Fahrkarte, Einzelfahrkarte;aktiv;6/B1;III;s;single ticket = one-way ticket;
comfortable;behaglich, bequem, komfortabel;aktiv;6/B2;III;a;;
to change;(ver)ändern, hier: umsteigen;aktiv;6/B2;III;v;To get to Aberystwyth we will have to change trains at Birmingham.;
line;Linie, hier auch: Verbindung, Strecke;aktiv;6/B2;III;s;;
departure;Abreise, Abflug, Abfahrt;aktiv;6/B2;III;s;Paul had two hours to wait until departure.;
plane;Flugzeug;aktiv;6/B2;III;s;;
to reach;erreichen;aktiv;6/B2;III;v;After a six-hour journey they reached their destination.;
return (ticket);Rückfahrkarte;aktiv;6/B2;III;s;return ↔ single ticket;
to sum up;resümieren, zusammenfassen;aktiv;6/B6;III;ph;Can you sum up your favourite book in a few words?;
space;Raum, hier: Platz;aktiv;6/B6;III;s;The car park was very busy, so Mary couldn't find a parking space.;
airport;Flughafen;passiv;6/B6;III;s;;
in time;(gerade noch) rechtzeitig;aktiv;6/B6;III;ph;Sarah wasn’t late, she made it to the bus in time.;
car park;Parkplatz;passiv;6/B6;III;s;;
security gate;Fluggastkontrolle, Sicherheitskontrolle;passiv;6/B6;III;s;;
queue;Schlange, Reihe;aktiv;6/B6;III;s;The was a big queue to get onto the bus this morning.;ID 6135867
to hug;umarmen;passiv;6/B6;III;v;;
boarding pass;Bordkarte;passiv;6/B6;III;s;;
gate;Tor, Pforte, Flugsteig;passiv;6/B6;III;s;;
perfume;Parfüm, Duft;passiv;6/B6;III;s;;
final;letzte(r, s), entscheidend, endgültig;passiv;6/B6;III;a;;
call;(Telefon)anruf, Ruf, hier: Aufruf;passiv;6/B6;III;s;;
to proceed;fortschreiten, fortfahren, hier: sich begeben;passiv;6/B6;III;v;;
flight attendant;Flugbegleiter/in;passiv;6/B6;III;s;;
to go red (irr);rot werden;passiv;6/B6;III;ph;;
to be left (irr);übrig bleiben;aktiv;6/B6;III;ph;After the party there was no cake left. We ate it all.;
empty;leer, hier: frei;aktiv;6/B6;III;a;Is this seat empty? May I sit here?;
unpleasant;unerfreulich, unangenehm;passiv;6/B6;III;a;;
ugly;hässlich, scheußlich, übel;aktiv;6/B6;III;a;ugly ↔ beautiful;
litter (no pl);Müll, Abfall;passiv;6/B6;III;s;;
playground;Spielplatz;passiv;6/B6;III;s;;
proud;stolz;aktiv;6/B6;III;a;Harry’s parents were very proud of his exam results.;
traffic jam;Stau;aktiv;6/B6;III;s;There was a big traffic jam, so we were very late.;
to feel sick (irr);schlecht sein, sich schlecht fühlen;aktiv;6/B6;III;ph;After Tim had eaten three hamburgers, he felt sick.;
exit;Ausgang, Weggehen, Ausfahrt;passiv;6/B6;III;s;;
uncertain;unsicher;passiv;6/B6;III;a;;
environmental;Umwelt-, die Umwelt betreffend, ökologisch;aktiv;6/B6;III;a;Climate change causes lots of environmental problems.;
ages (only pl, informal);eine Ewigkeit, Ewigkeiten;aktiv;6/B6;III;s;Jill was happy to meet Kim again. They hadn’t met for ages.;
supporter;Unterstützer/in, Anhänger/in, Verfechter/in;aktiv;6/B6;III;s;Charlie is a big supporter of Arsenal FC.;
neighbourhood;Nachbarschaft;aktiv;6/B6;III;s;I think that girl lives in my neighbourhood. I see her almost every day.;
to reduce;verringern, reduzieren;aktiv;6/B6;III;v;We need to reduce how much waste we throw away.;
healthy;gesund;aktiv;6/B6;III;s;Fruit and vegetables are healthy foods.;
to plant;pflanzen;passiv;6/B6;III;v;;
thrilled;außer sich vor Freude;aktiv;6/B6;III;a;;
to grow (irr);wachsen, gedeihen, anbauen;aktiv;6/B6;III;v;My grandad grows tomatoes in his garden.;
edible;essbar, genießbar;passiv;6/B6;III;a;;
bus stop;Bushaltestelle;passiv;6/B6;III;s;;
to vandalize;mutwillig zerstören, verwüsten;passiv;6/B6;III;v;;
