_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
2492;France;['France'];[('France', ['PropN 3sg'])];['F65200'];['France'];[('France', ['PropN 3sg'])];[('France', 'PropN')];Frankreich;[['Frankreich']];[''];['376474'];[''];[''];aktiv;3/B2;III;s;Paris is the biggest city in France.;
2493;to capture;['to capture'];[('to', ['V TO']), ('capture', ['V INF'])];['T0 T136000'];['capture'];[('capture', ['V INF'])];[('capture', 'V')];gefangen nehmen, festnehmen;[['gefangen nehmen'], ['festnehmen']];[''];[['43646 666'], ['382666']];[''];[''];passiv;3/B2;III;v;;
2494;brother-in-law;['brother-in-law'];[('brother-in-law', ['N 3sg'])];['B6365400000000'];['brother-in-law'];[('brother-in-law', ['N 3sg'])];[('brother-in-law', 'N')];Schwager;[['Schwager']];[''];['8347'];[''];[''];passiv;3/B2;III;s;;
2495;as soon as;['as soon as'];[('as', ['Adv']), ('soon', ['Adv']), ('as', ['Adv'])];['A2 A500 A2'];['as', 'soon', 'as'];[('as', ['Adv']), ('soon', ['Adv']), ('as', ['Adv'])];[('as', 'Adv'), ('soon', 'Adv'), ('as', 'Adv')];sobald, hier: als, in dem Moment, als ...;[['sobald'], ['als, in dem Moment, als']];[''];[['8152'], ['058  06 26 6662  058']];[''];[''];aktiv;3/B2;III;ph;As soon as Victoria went outside, it started to rain.;
2496;to rescue;['to rescue'];[('to', ['V TO']), ('rescue', ['V INF'])];['T0 T20000'];['rescue'];[('rescue', ['V INF'])];[('rescue', 'V')];retten, befreien;[['retten'], ['befreien']];[''];[['726'], ['1376']];[''];[''];aktiv;3/B2;III;v;My brother is my hero. He rescued me and saved my life.;
2497;to make a promise (irr);['to make a promise'];[('to', ['V TO']), ('make', ['V INF']), ('a', ['Det']), ('promise', ['N 3sg'])];['T0 T200 T T652000'];['make', 'a', 'promise'];[('make', ['V INF']), ('a', ['Det']), ('promise', ['N 3sg'])];[('make', 'V'), ('a', 'Det'), ('promise', 'N')];ein Versprechen geben;[['ein Versprechen geben']];[''];['06 3781746 416'];[''];[''];aktiv;3/B2;III;ph;Our teacher made a promise that we would not have any homework.;
2498;the Channel;['the Channel'];[('the', ['Det']), ('Channel', ['N 3sg'])];['T00 T540000'];['the', 'channel'];[('the', ['Det']), ('channel', ['N 3sg'])];[('the', 'Det'), ('channel', 'N')];der Ärmelkanal;[['der Ärmelkanal']];[''];['27 0765465'];[''];[''];aktiv;3/B2;III;s;The Channel is the sea between England and France.;
2499;wine;['wine'];[('wine', ['N 3sg'])];['W500'];['wine'];[('wine', ['N 3sg'])];[('wine', 'N')];Wein;[['Wein']];[''];['36'];[''];[''];aktiv;3/B2;III;s;France is famous for its wine.;
2500;army;['army'];[('army', ['N 3sg'])];['A650'];['army'];[('army', ['N 3sg'])];[('army', 'N')];Armee, Heer;[['Armee'], ['Heer']];[''];[['076'], ['07']];[''];[''];aktiv;3/B2;III;s;;
2501;to ache;['to ache'];[('to', ['V TO']), ('ache', ['V INF'])];['T0 T200'];['ache'];[('ache', ['V INF'])];[('ache', 'V')];schmerzen, wehtun;[['schmerzen'], ['wehtun']];[''];[['86786'], ['326']];[''];[''];aktiv;3/B2;III;v;After three days of walking, David’s legs ached.;
2502;meanwhile;['meanwhile'];[('meanwhile', ['Adv'])];['M54000000'];['meanwhile'];[('meanwhile', ['Adv'])];[('meanwhile', 'Adv')];inzwischen, unterdessen, mittlerweile;[['inzwischen'], ['unterdessen'], ['mittlerweile']];[''];[['068386'], ['0627286'], ['625735']];[''];[''];passiv;3/B2;III;av;;
2503;to march;['to march'];[('to', ['V TO']), ('march', ['V INF'])];['T0 T6200'];['march'];[('march', ['V INF'])];[('march', 'V')];marschieren;[['marschieren']];[''];['67876'];[''];[''];passiv;3/B2;III;v;;
2504;to defeat;['to defeat'];[('to', ['V TO']), ('defeat', ['V INF'])];['T0 T13000'];['defeat'];[('defeat', ['V INF'])];[('defeat', 'V')];besiegen, schlagen;[['besiegen'], ['schlagen']];[''];[['1846'], ['8546']];[''];[''];aktiv;3/B2;III;v;Man U defeated Chelsea. They won.;
2505;soldier;['soldier'];[('soldier', ['N 3sg'])];['S436000'];['soldier'];[('soldier', ['N 3sg'])];[('soldier', 'N')];Soldat/in;[['Soldat'], ['Soldatin']];[''];[['8522'], ['85226']];[''];[''];aktiv;3/B2;III;s;Ed is a soldier and he is in the army.;ID 575131
2506;to turn around;['to turn around'];[('to', ['V TO']), ('turn', ['V INF']), ('around', ['Part'])];['T0 T650 T65300'];['turn', 'around'];[('turn', ['V INF']), ('around', ['Part'])];[('turn', 'V'), ('around', 'Part')];sich umdrehen, hier: umkehren;[['sich umdrehen'], ['umkehren']];[''];[['84 06276'], ['06476']];[''];[''];passiv;3/B2;III;ph;;
2507;troop;['troop'];[('troop', ['N 3sg'])];['T6100'];['troop'];[('troop', ['N 3sg'])];[('troop', 'N')];Truppe, Schar;[['Truppe'], ['Schar']];[''];[['271'], ['87']];[''];[''];passiv;3/B2;III;s;;
2508;to surround;['to surround'];[('to', ['V TO']), ('surround', ['V INF'])];['T0 T6530000'];['surround'];[('surround', ['V INF'])];[('surround', 'V')];einkreisen;[['einkreisen']];[''];['064786'];[''];[''];passiv;3/B2;III;v;;
2509;to attack;['to attack'];[('to', ['V TO']), ('attack', ['V INF'])];['T0 T32000'];['attack'];[('attack', ['V INF'])];[('attack', 'V')];angreifen;[['angreifen']];[''];['064736'];[''];[''];aktiv;3/B2;III;v;The soldiers attacked the castle.;
2510;tough;['tough'];[('tough', ['A'])];['T2000'];['tough'];[('tough', ['A'])];[('tough', 'A')];robust, zäh;[['robust'], ['zäh']];[''];[['7182'], ['8']];[''];[''];aktiv;3/B2;III;a;tough = difficult, hard;
2511;battle;['battle'];[('battle', ['N 3sg'])];['B34000'];['battle'];[('battle', ['N 3sg'])];[('battle', 'N')];Kampf, Gefecht, Schlacht;[['Kampf'], ['Gefecht'], ['Schlacht']];[''];[['4613'], ['4342'], ['8542']];[''];[''];aktiv;3/B2;III;s;;
2512;the Saxons;['the Saxons'];[('the', ['Det']), ('Saxons', ['N 3pl'])];['T00 T25200'];['the', 'Saxon'];[('the', ['Det']), ('Saxon', ['N 3pl'])];[('the', 'Det'), ('Saxon', 'N')];die (Angel)sachsen;[['die sachsen'], ['die Angelsachsen']];[''];[['2 8486'], ['2 06458486']];[''];[''];passiv;3/B2;III;s;;
2513;kingdom;['kingdom'];[('kingdom', ['N 3sg'])];['K523500'];['kingdom'];[('kingdom', ['N 3sg'])];[('kingdom', 'N')];Königreich;[['Königreich']];[''];['46474'];[''];[''];aktiv;3/B2;III;s;;
2514;arrow;['arrow'];[('arrow', ['N 3sg'])];['A6000'];['arrow'];[('arrow', ['N 3sg'])];[('arrow', 'N')];Pfeil;[['Pfeil']];[''];['135'];[''];[''];passiv;3/B2;III;s;;
2515;known;['known'];[('known', ['A'])];['K5500'];['know'];[('know', ['A'])];[('know', 'A')];bekannt;[['bekannt']];[''];['1462'];[''];[''];passiv;3/B2;III;a;;
2516;prisoner;['prisoner'];[('prisoner', ['N 3sg'])];['P6256000'];['prisoner'];[('prisoner', ['N 3sg'])];[('prisoner', 'N')];Gefangene/r, Häftling;[['Gefangene'], ['Gefangener'], ['Häftling']];[''];[['43646'], ['436467'], ['032564']];[''];[''];aktiv;3/B3;III;s;;
2517;to return;['to return'];[('to', ['V TO']), ('return', ['V INF'])];['T0 T36500'];['return'];[('return', ['V INF'])];[('return', 'V')];zurückkehren, zurückkommen;[['zurückkehren'], ['zurückkommen']];[''];[['87476'], ['87466']];[''];[''];aktiv;3/B3;III;v;to return = to come back;
2518;after;['after'];[('after', [['Conj']])];['A1360'];['after'];[('after', [['Conj']])];[('after', 'Conj')];nachdem;[['nachdem']];[''];['6426'];[''];[''];aktiv;3/B3;III;k;After Lynn’s family had moved to France, her mother started to teach her French.;
2519;to teach (irr);['to teach'];[('to', ['V TO']), ('teach', ['V INF'])];['T0 T2000'];['teach'];[('teach', ['V INF'])];[('teach', 'V')];unterrichten, beibringen;[['unterrichten'], ['beibringen']];[''];[['0627426'], ['117646']];[''];[''];aktiv;3/B5;III;v;After Lynn’s family had moved to France, her mother started to teach her French.;
2520;to publish;['to publish'];[('to', ['V TO']), ('publish', ['V INF'])];['T0 T142000'];['publish'];[('publish', ['V INF'])];[('publish', 'V')];veröffentlichen, herausgeben;[['veröffentlichen'], ['herausgeben']];[''];[['37362546'], ['078416']];[''];[''];aktiv;3/B5;III;v;Ida published her first book in 2002.;
2521;to highlight;['to highlight'];[('to', ['V TO']), ('highlight', ['V INF'])];['T0 T24230000'];['highlight'];[('highlight', ['V INF'])];[('highlight', 'V')];hervorheben, markieren;[['hervorheben'], ['markieren']];[''];[['073716'], ['67476']];[''];[''];aktiv;3/B7;III;v;;
2522;to go with (irr);['to go with'];[('to', ['V TO']), ('go', ['V INF']), ('with', ['Prep'])];['T0 T0 T300'];['go', 'with'];[('go', ['V INF']), ('with', ['Prep'])];[('go', 'V'), ('with', 'Prep')];zu … gehören, zu … passen;[['zu gehören'], ['zu passen']];[''];[['8 476'], ['8 186']];[''];[''];aktiv;3/B7;III;v;Does this yellow T-shirt go with my pink jeans?;
2523;virgin;['virgin'];[('virgin', ['A', 'N 3sg'])];['V62500'];['virgin'];[('virgin', ['A', 'N 3sg'])];[[('virgin', 'N')], [('virgin', 'A')]];Jungfrau, jungfräulich, unberührt;[['Jungfrau'], ['jungfräulich'], ['unberührt']];[''];[['06437'], ['0643754'], ['061772']];[''];[''];passiv;3/B7;III;s/a;;
2524;remarkable;['remarkable'];[('remarkable', ['A'])];['R562140000'];['remarkable'];[('remarkable', ['A'])];[('remarkable', 'A')];bemerkenswert, erstaunlich, beachtlich;[['bemerkenswert'], ['erstaunlich'], ['beachtlich']];[''];[['167468372'], ['0782654'], ['14254']];[''];[''];aktiv;3/B7;III;a;The play was a remarkable success.;
2525;ruler;['ruler'];[('ruler', ['N 3sg'])];['R4600'];['ruler'];[('ruler', ['N 3sg'])];[('ruler', 'N')];Herrscher/in;[['Herrscher'], ['Herrscherin']];[''];[['0787'], ['07876']];[''];[''];aktiv;3/B7;III;s;A ruler controls a country.;
2526;born;['born'];[('born', ['V PASSIVE PPART STR'])];['B650'];['bear'];[('bear', ['V PASSIVE PPART STR'])];[('bear', 'V')];geboren;[['geboren']];[''];['4176'];[''];[''];aktiv;3/B7;III;a;Queen Elizabeth was born in 1533.;
2527;childhood (no pl);['childhood'];[('childhood', ['N 3sg'])];['C43300000'];['childhood'];[('childhood', ['N 3sg'])];[('childhood', 'N')];Kindheit;[['Kindheit']];[''];['4622'];[''];[''];aktiv;3/B7;III;s;My father always tell us stories about his childhood.;
2528;to have sth done (irr);[['to have done'], ['to have sth done']];[[('to', ['V TO']), ('have', ['V INF']), ('done', ['V PPART STR'])]];[['T0 T100 T500'], ['T0 T100 T30 T500']];[['have', 'done']];[[('have', ['V INF']), ('done', ['V PPART STR'])]];[[('have', 'V'), ('done', 'V')]];etw tun lassen;[['etw tun lassen']];[''];['023 26 586'];[''];[''];passiv;3/B7;III;ph;;
2529;throne;['throne'];[('throne', ['N 3sg'])];['T65000'];['throne'];[('throne', ['N 3sg'])];[('throne', 'N')];Thron;[['Thron']];[''];['276'];[''];[''];aktiv;3/B7;III;s;A king or queen sits on a throne.;
2530;stepmother;['stepmother'];[('stepmother', ['N 3sg'])];['S315360000'];['stepmother'];[('stepmother', ['N 3sg'])];[('stepmother', 'N')];Stiefmutter;[['Stiefmutter']];[''];['823627'];[''];[''];passiv;3/B7;III;s;;
2531;to be displeased (irr);['to be displeased'];[('to', ['V TO']), ('be', ['V INF']), ('displeased', ['V PPART WK', 'V PAST WK'])];['T0 T0 T214230000'];['be', 'displease'];[('be', ['V INF']), ('displease', ['V PPART WK', 'V PAST WK'])];[('be', 'V'), ('displease', 'V')];unzufrieden sein;[['unzufrieden sein']];[''];['0683726 86'];[''];[''];passiv;3/B7;III;ph;;
2532;to succeed;['to succeed'];[('to', ['V TO']), ('succeed', ['V INF'])];['T0 T230000'];['succeed'];[('succeed', ['V INF'])];[('succeed', 'V')];Erfolg haben, nachfolgen;[['Erfolg haben'], ['nachfolgen']];[''];[['07354 016'], ['643546']];[''];[''];aktiv;3/B7;III;v;If someone succeeds the queen, they are the next king or queen.;
2533;heir;['heir'];[('heir', ['N 3sg'])];['H600'];['heir'];[('heir', ['N 3sg'])];[('heir', 'N')];Erbe/Erbin, hier: Thronfolger/in;[['Erbe'], ['Erbin'], ['Thronfolger'], ['Thronfolgerin']];[''];[['071'], ['0716'], ['2763547'], ['27635476']];[''];[''];passiv;3/B7;III;s;;
2534;to execute;['to execute'];[('to', ['V TO']), ('execute', ['V INF'])];['T0 T223000'];['execute'];[('execute', ['V INF'])];[('execute', 'V')];hinrichten;[['hinrichten']];[''];['067426'];[''];[''];aktiv;3/B7;III;v;Mary, Queen of Scots, was executed in 1587.;
2535;to raise;['to raise'];[('to', ['V TO']), ('raise', ['V INF'])];['T0 T2000'];['raise'];[('raise', ['V INF'])];[('raise', 'V')];heben, hier: aufziehen, großziehen;[['heben'], ['aufziehen'], ['großziehen']];[''];[['016'], ['0386'], ['4786']];[''];[''];aktiv;3/B7;III;v;Tessa was raised by her grandmother.;
2536;educated;['educated'];[('educated', ['A'])];['E3233000'];['educate'];[('educate', ['A'])];[('educate', 'A')];gebildet, kultiviert;[['gebildet'], ['kultiviert']];[''];[['41522'], ['452372']];[''];[''];aktiv;3/B7;III;a;Sam is very educated. He’s very clever.;
2537;society;['society'];[('society', ['N 3sg'])];['S230000'];['society'];[('society', ['N 3sg'])];[('society', 'N')];Gesellschaft, hier: die feine Gesellschaft;[['Gesellschaft'], ['die feine Gesellschaft']];[''];[['485832'], ['2 36 485832']];[''];[''];aktiv;3/B7;III;s;;
2538;death (no pl);['death'];[('death', ['N 3sg'])];['D3000'];['death'];[('death', ['N 3sg'])];[('death', 'N')];Tod, Ende;[['Tod'], ['Ende']];[''];[['22'], ['062']];[''];[''];aktiv;3/B7;III;s;death ↔ life;
2539;period;['period'];[('period', ['N 3sg'])];['P63000'];['period'];[('period', ['N 3sg'])];[('period', 'N')];Zeitspanne, Zeitraum, Periode;[['Zeitspanne'], ['Zeitraum'], ['Periode']];[''];[['8816'], ['8276'], ['172']];[''];[''];aktiv;3/B7;III;s;;
2540;Elizabethan;['Elizabethan'];[('Elizabethan', ['A', 'N 3sg'])];['E4213500000'];['Elizabethan'];[('Elizabethan', ['A', 'N 3sg'])];[[('Elizabethan', 'N')], [('Elizabethan', 'A')]];elisabethanisch, Elisabethaner/in;[['elisabethanisch'], ['Elisabethaner'], ['Elisabethanerin']];[''];[['0581268'], ['0581267'], ['05812676']];[''];[''];passiv;3/B7;III;s/a;;
2541;age;['age'];[('age', ['N 3sg'])];['A20'];['age'];[('age', ['N 3sg'])];[('age', 'N')];Alter, hier: Zeitalter, Ära;[['Alter'], ['Zeitalter'], ['Ära']];[''];[['0527'], ['82527'], ['07']];[''];[''];aktiv;3/B7;III;s;The Victorian Age is the time when Queen Victoria was queen.;
2542;to rule;['to rule'];[('to', ['V TO']), ('rule', ['V INF'])];['T0 T400'];['rule'];[('rule', ['V INF'])];[('rule', 'V')];regieren, (be)herrschen;[['regieren'], ['herrschen'], ['beherrschen']];[''];[['7476'], ['0786'], ['1786']];[''];[''];aktiv;3/B7;III;v;Queen Elizabeth II rules Britain.;
2543;influence (no pl);['influence'];[('influence', ['N 3sg'])];['I51452000'];['influence'];[('influence', ['N 3sg'])];[('influence', 'N')];Einfluss;[['Einfluss']];[''];['06358'];[''];[''];aktiv;3/B7;III;s;Pete’s new friends are a bad influence on him.;
2544;drama (no pl);['drama'];[('drama', ['N 3sg'])];['D6500'];['drama'];[('drama', ['N 3sg'])];[('drama', 'N')];Schauspielerei, Drama, Theater-;[['Schauspielerei'], ['Drama'], ['Theater-'], ['Theater']];[''];[['88157'], ['276'], ['227'], ['227']];[''];[''];aktiv;3/B7;III;s;;
2545;fashion;['fashion'];[('fashion', ['N 3sg'])];['F250000'];['fashion'];[('fashion', ['N 3sg'])];[('fashion', 'N')];Mode;[['Mode']];[''];['62'];[''];[''];aktiv;3/B7;III;s;Beth likes fashion. She always wears nice clothes.;
2546;politics (only pl);['politics'];[('politics', ['N 3sg', 'N 3pl'])];['P4320000'];['politics'];[('politics', ['N 3sg', 'N 3pl'])];[('politics', 'N')];Politik;[['Politik']];[''];['1524'];[''];[''];aktiv;3/B7;III;s;;
2547;to lead (irr);['to lead'];[('to', ['V TO']), ('lead', ['V INF'])];['T0 T300'];['lead'];[('lead', ['V INF'])];[('lead', 'V')];führen;[['führen']];[''];['376'];[''];[''];aktiv;3/B7;III;v;;
2548;male;['male'];[('male', ['A'])];['M400'];['male'];[('male', ['A'])];[('male', 'A')];männlich;[['männlich']];[''];['6654'];[''];[''];aktiv;3/B7;III;a;male ↔ female;
2549;monarch;['monarch'];[('monarch', ['N 3sg'])];['M562000'];['monarch'];[('monarch', ['N 3sg'])];[('monarch', 'N')];Monarch/in, Herrscher/in;[['Monarch'], ['Monarchin'], ['Herrscher'], ['Herrscherin']];[''];[['6674'], ['66746'], ['0787'], ['07876']];[''];[''];aktiv;3/B7;III;s;The king is a male monarch.;ID 5959980
2550;next in line;['next in line'];[('next', ['A']), ('in', ['Prep']), ('line', ['N 3sg'])];['N230 N5 N500'];['next', 'in', 'line'];[('next', ['A']), ('in', ['Prep']), ('line', ['N 3sg'])];[('next', 'A'), ('in', 'Prep'), ('line', 'N')];der/die Nächste (in der Thronfolge);[['der Nächste'], ['die Nächste']];[''];[['27 6482'], ['2 6482']];[''];[''];passiv;3/B7;III;ph;;
2551;to plot;['to plot'];[('to', ['V TO']), ('plot', ['V INF'])];['T0 T430'];['plot'];[('plot', ['V INF'])];[('plot', 'V')];sich verschwören;[['sich verschwören']];[''];['84 378376'];[''];[''];passiv;3/B7;III;v;;
2552;to lock away;['to lock away'];[('to', ['V TO']), ('lock', ['V INF']), ('away', ['Adv'])];['T0 T200 T000'];['lock', 'away'];[('lock', ['V INF']), ('away', ['Adv'])];[('lock', 'V'), ('away', 'Adv')];wegschließen, einsperren;[['wegschließen'], ['einsperren']];[''];[['348586'], ['068176']];[''];[''];passiv;3/B7;III;ph;;
2553;to research;['to research'];[('to', ['V TO']), ('research', ['V INF'])];['T0 T2620000'];['research'];[('research', ['V INF'])];[('research', 'V')];erforschen, recherchieren;[['erforschen'], ['recherchieren']];[''];[['073786'], ['747476']];[''];[''];aktiv;3/B7;III;v;Tim researched the Romans to find out all about them.;
2554;to simplify;['to simplify'];[('to', ['V TO']), ('simplify', ['V INF'])];['T0 T5141000'];['simplify'];[('simplify', ['V INF'])];[('simplify', 'V')];vereinfachen;[['vereinfachen']];[''];['376346'];[''];[''];passiv;3/B7;III;v;;
2555;to rephrase;['to rephrase'];[('to', ['V TO']), ('rephrase', ['V INF'])];['T0 T1620000'];['rephrase'];[('rephrase', ['V INF'])];[('rephrase', 'V')];neu formulieren;[['neu formulieren']];[''];['6 376576'];[''];[''];passiv;3/B7;III;v;;
2556;to combine;['to combine'];[('to', ['V TO']), ('combine', ['V INF'])];['T0 T515000'];['combine'];[('combine', ['V INF'])];[('combine', 'V')];verbinden, kombinieren;[['verbinden'], ['kombinieren']];[''];[['371626'], ['461676']];[''];[''];aktiv;3/B7;III;v;Jill wants to combine shopping and sightseeing on her trip to London.;
2557;to shorten;['to shorten'];[('to', ['V TO']), ('shorten', ['V INF'])];['T0 T635000'];['shorten'];[('shorten', ['V INF'])];[('shorten', 'V')];(ab)kürzen;[['kürzen'], ['abkürzen']];[''];[['4786'], ['014786']];[''];[''];passiv;3/B7;III;v;;
2558;unnecessary;['unnecessary'];[('unnecessary', ['A'])];['U5226000000'];['unnecessary'];[('unnecessary', ['A'])];[('unnecessary', 'A')];unnötig, überflüssig, verzichtbar;[['unnötig'], ['überflüssig'], ['verzichtbar']];[''];[['0624'], ['0173584'], ['3784217']];[''];[''];aktiv;3/B7;III;a;If you don’t need something, it’s unnecessary.;
2559;order;['order'];[('order', ['N 3sg'])];['O6360'];['order'];[('order', ['N 3sg'])];[('order', 'N')];Ordnung, Reihenfolge;[['Ordnung'], ['Reihenfolge']];[''];[['072664'], ['76354']];[''];[''];aktiv;3/B7;III;s;;
2560;meaning;['meaning'];[('meaning', ['N 3sg'])];['M552000'];['meaning'];[('meaning', ['N 3sg'])];[('meaning', 'N')];Bedeutung;[['Bedeutung']];[''];['12264'];[''];[''];aktiv;3/B7;III;s;You can find the meaning of 'order' in a dictionary.;
2561;French;['French'];[('French', ['A', 'N 3sg'])];['F65200'];['French'];[('French', ['A', 'N 3sg'])];[[('French', 'N')], [('French', 'A')]];Französisch(-), französisch;[['Französisch'], ['französisch']];[''];[['376888'], ['376888']];[''];[''];aktiv;3/B7;III;s/a;;
2562;prefix;['prefix'];[('prefix', ['N 3sg'])];['P61200'];['prefix'];[('prefix', ['N 3sg'])];[('prefix', 'N')];Präfix, Vorsilbe;[['Präfix'], ['Vorsilbe']];[''];[['17348'], ['37851']];[''];[''];passiv;3/B7;III;s;;
2563;suffix;['suffix'];[('suffix', ['N 3sg'])];['S12000'];['suffix'];[('suffix', ['N 3sg'])];[('suffix', 'N')];Suffix, Nachsilbe;[['Suffix'], ['Nachsilbe']];[''];[['8348'], ['64851']];[''];[''];passiv;3/B7;III;s;;
2564;legendary;['legendary'];[('legendary', ['A'])];['L25360000'];['legendary'];[('legendary', ['A'])];[('legendary', 'A')];sagenhaft, legendär, mythisch;[['sagenhaft'], ['legendär'], ['mythisch']];[''];[['84632'], ['54627'], ['628']];[''];[''];passiv;3/B10;III;a;;
2565;literary;['literary'];[('literary', ['A'])];['L3660000'];['literary'];[('literary', ['A'])];[('literary', 'A')];Literatur-, literarisch;[['Literatur-'], ['Literatur'], ['literarisch']];[''];[['52727'], ['52727'], ['52778']];[''];[''];passiv;3/B10;III;a;;
2566;surprising;['surprising'];[('surprising', ['A'])];['S616252000'];['surprise'];[('surprise', ['A'])];[('surprise', 'A')];überraschend;[['überraschend']];[''];['017862'];[''];[''];aktiv;3/B10;III;a;It is surprising that Jenny didn’t come to the sweet shop, because she loves sweets.;
2567;pronunciation (no pl);['pronunciation'];[('pronunciation', ['N 3sg'])];['P655235000000'];['pronunciation'];[('pronunciation', ['N 3sg'])];[('pronunciation', 'N')];Aussprache;[['Aussprache']];[''];['08174'];[''];[''];aktiv;3/B10;III;s;What’s the pronunciation of 'Llandysul'? Can you say it?;
2568;cue;['cue'];[('cue', ['N 3sg'])];['C00'];['cue'];[('cue', ['N 3sg'])];[('cue', 'N')];Stichwort, Signal, Zeichen;[['Stichwort'], ['Signal'], ['Zeichen']];[''];[['824372'], ['8465'], ['846']];[''];[''];passiv;3/B10;III;s;;
2569;pair;['pair'];[('pair', ['N 3sg'])];['P600'];['pair'];[('pair', ['N 3sg'])];[('pair', 'N')];Paar;[['Paar']];[''];['17'];[''];[''];aktiv;3/B10;III;s;a pair = two;
2570;to match sth to sth;[['to match to'], ['to match sth to sth']];[[('to', ['V TO']), ('match', ['V INF']), ('to', ['V TO'])]];[['T0 T3200 T0'], ['T0 T3200 T30 T0 T30']];[['match', 'to']];[[('match', ['V INF']), ('to', ['V TO'])]];[[('match', 'V'), ('to', 'V')]];etw auf etw abstimmen, hier: etw zuordnen;[['etw auf etw abstimmen'], ['etw zuordnen']];[''];[['023 03 023 018266'], ['023 87266']];[''];[''];aktiv;3/C1;III;ph;Match the photos to the texts.;
2571;dress;['dress'];[('dress', ['N 3sg'])];['D6200'];['dress'];[('dress', ['N 3sg'])];[('dress', 'N')];Kleid;[['Kleid']];[''];['452'];[''];[''];aktiv;3/C1;III;s;a blue dress;ID 1448463
2572;summary;['summary'];[('summary', ['N 3sg'])];['S560000'];['summary'];[('summary', ['N 3sg'])];[('summary', 'N')];Zusammenfassung;[['Zusammenfassung']];[''];['88663864'];[''];[''];passiv;3/C2;III;s;;
2573;scene;['scene'];[('scene', ['N 3sg'])];['S5000'];['scene'];[('scene', ['N 3sg'])];[('scene', 'N')];Szene;[['Szene']];[''];['86'];[''];[''];aktiv;3/C2;III;s;There are usually lots of scenes in a play.;
2574;performance;['performance'];[('performance', ['N 3sg'])];['P6165520000'];['performance'];[('performance', ['N 3sg'])];[('performance', 'N')];Vorführung, Darbietung, Vorstellung;[['Vorführung'], ['Darbietung'], ['Vorstellung']];[''];[['373764'], ['271264'], ['3782564']];[''];[''];aktiv;3/C2;III;s;Before the first performance of the play, the actors were nervous.;
2575;to challenge;['to challenge'];[('to', ['V TO']), ('challenge', ['V INF'])];['T0 T45200000'];['challenge'];[('challenge', ['V INF'])];[('challenge', 'V')];herausfordern;[['herausfordern']];[''];['07837276'];[''];[''];aktiv;3/C2;III;v;Lisa’s brother often challenges her to running races.;
2576;sword;['sword'];[('sword', ['N 3sg'])];['S6300'];['sword'];[('sword', ['N 3sg'])];[('sword', 'N')];Schwert;[['Schwert']];[''];['8372'];[''];[''];passiv;3/C2;III;s;;
2577;to declare;['to declare'];[('to', ['V TO']), ('declare', ['V INF'])];['T0 T246000'];['declare'];[('declare', ['V INF'])];[('declare', 'V')];verkünden, erklären;[['verkünden'], ['erklären']];[''];[['374626'], ['074576']];[''];[''];aktiv;3/C2;III;v;Arthur pulled the sword from the stone and was declared king.;ID 5959984
2578;to betray;['to betray'];[('to', ['V TO']), ('betray', ['V INF'])];['T0 T36000'];['betray'];[('betray', ['V INF'])];[('betray', 'V')];verraten, untreu sein, betrügen;[['verraten'], ['untreu sein'], ['betrügen']];[''];[['3726'], ['0627 86'], ['12746']];[''];[''];passiv;3/C2;III;v;;
2579;to crown;['to crown'];[('to', ['V TO']), ('crown', ['V INF'])];['T0 T6500'];['crown'];[('crown', ['V INF'])];[('crown', 'V')];krönen;[['krönen']];[''];['4766'];[''];[''];passiv;3/C2;III;v;;
2580;tragedy;['tragedy'];[('tragedy', ['N 3sg'])];['T623000'];['tragedy'];[('tragedy', ['N 3sg'])];[('tragedy', 'N')];Tragödie, Trauerspiel;[['Tragödie'], ['Trauerspiel']];[''];[['2742'], ['277815']];[''];[''];passiv;3/C2;III;s;;
2581;bill;['bill'];[('bill', ['N 3sg'])];['B400'];['bill'];[('bill', ['N 3sg'])];[('bill', 'N')];Rechnung;[['Rechnung']];[''];['74664'];[''];[''];passiv;3/C2;III;s;;
2582;comedy;['comedy'];[('comedy', ['N 3sg'])];['C53000'];['comedy'];[('comedy', ['N 3sg'])];[('comedy', 'N')];Komödie;[['Komödie']];[''];['462'];[''];[''];passiv;3/C2;III;s;;
2583;peace (no pl);['peace'];[('peace', ['N 3sg'])];['P2000'];['peace'];[('peace', ['N 3sg'])];[('peace', 'N')];Frieden, Ruhe;[['Frieden'], ['Ruhe']];[''];[['3726'], ['7']];[''];[''];aktiv;3/C4;III;s;After many years the fight was over and the people could live in peace again.;
2584;to threaten;['to threaten'];[('to', ['V TO']), ('threaten', ['V INF'])];['T0 T6350000'];['threaten'];[('threaten', ['V INF'])];[('threaten', 'V')];(be)drohen;[['drohen'], ['bedrohen']];[''];[['276'], ['1276']];[''];[''];aktiv;3/C4;III;v;“I’m going to hit you!” Paul threatened.;
2585;Roman;['Roman'];[('Roman', ['A', 'N 3sg'])];['R5500'];['Roman'];[('Roman', ['A', 'N 3sg'])];[[('Roman', 'N')], [('Roman', 'A')]];Römer/in, römisch;[['Römer'], ['Römerin'], ['römisch']];[''];[['767'], ['7676'], ['768']];[''];[''];passiv;3/C4;III;s/a;;
